db,perc,mem_high,mem_low,data_loaded
prv-janusgraph,13,1.534,0.452,591.9
prv-cassandra,13,7.994,7.995,591.9
prv-elastic,13,0.956,0.956,591.9
prv-postgis,13,0.009,0.009,591.9
prv-tigergraph,13,2.831,2.741,591.9

prv-janusgraph,10,1.506,0.432,406.7
prv-cassandra,10,7.988,7.989,406.7
prv-elastic,10,0.920,0.920,406.7
prv-postgis,10,0.009,0.009,406.7
prv-tigergraph,10,2.595,2.546,406.7

prv-janusgraph,7,1.793,0.429,251.6
prv-cassandra,7,7.988,7.989,251.6
prv-elastic,7,0.931,0.920,251.6
prv-postgis,7,0.009,0.009,251.6
prv-tigergraph,7,2.379,2.343,251.6

prv-janusgraph,4,1.822,0.428,126.1
prv-cassandra,4,7.993,7.987,126.1
prv-elastic,4,0.920,0.902,126.1
prv-postgis,4,0.009,0.009,126.1
prv-tigergraph,4,2.202,2.171,126.1

prv-janusgraph,1,1.791,0.422,24.3
prv-cassandra,1,7.988,7.988,24.3
prv-elastic,1,0.908,0.908,24.3
prv-postgis,1,0.009,0.009,24.3
prv-tigergraph,1,2.200,2.172,24.3